"split","model","component","metric","value"
"CV fold 5","Random forest","Overall expected grade","mae",3.43748113461582
"CV fold 5","Random forest","Overall expected grade","r_squared",0.0173938525458358
"CV fold 5","XGBoost","Classifier","roc_auc",0.668397947195944
"CV fold 5","XGBoost","Classifier","average_precision",0.912435031717555
"CV fold 5","XGBoost","Classifier","log_loss",0.408360725406522
"CV fold 5","XGBoost","Classifier","brier",0.124361250549831
"CV fold 5","XGBoost","Classifier","threshold",0.84
"CV fold 5","XGBoost","Classifier","balanced_accuracy",0.623431027020342
"CV fold 5","XGBoost","Classifier","sensitivity",0.672787979966611
"CV fold 5","XGBoost","Classifier","specificity",0.574074074074074
"CV fold 5","XGBoost","Conditional positive-grade regressor","rmse",1.83423904349799
"CV fold 5","XGBoost","Conditional positive-grade regressor","mae",1.21851553163846
"CV fold 5","XGBoost","Conditional positive-grade regressor","r_squared",0.0881594151202882
"CV fold 5","XGBoost","Overall expected grade","rmse",4.63928826299821
"CV fold 5","XGBoost","Overall expected grade","mae",3.4286946496523
"CV fold 5","XGBoost","Overall expected grade","r_squared",0.0647989673452272
